"id","article","name","image","price_new","price_old","discount","date_update","type","length","width","height","weight","volume","actual","link"
ebbeaeb0-9fea-4b75-b978-7e7c768ac6b7,"2453",Шкаф для одежды «Монако» П6.528.1.09-01 (П528.09),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_monako_p528_09_grey5af012db8f728.jpg,660,0,-660,2024-09-10 00:00:00.000,шкаф для одежды,513,605,2140,80,0.208,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-dlya-odejdyi-monako-p528-09/
"9f1b45c1-f096-4fd5-9c05-eef791e2c375","2328",Стол письменный «Монако» П6.528.2.14 (П510.14),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/stol_pism_monako_p510_145a8fa0e76d808.jpg,768,0,-768,2024-09-10 00:00:00.000,стол письменный,1520,650,770,102,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/stolyi/stol-pismennyiy-monako-p510-14/
"425f0799-5670-4d8f-8b97-8584114c402b","2329",Стол письменный «Монако» П6.528.2.15-01 (П510.15),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/stol_pism_monako_p510_155a8fa11adba08.jpg,554,0,-554,2024-09-10 00:00:00.000,стол письменный,1200,650,770,72,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/stolyi/stol-pismennyiy-monako-p510-15/
"708b4d35-eb86-4bf3-996c-812c042dbde4","2330",Стол письменный «Монако» П6.528.2.15 (П510.15-1),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/stol_pism_monako_p510_15-15a8fa128517eb.jpg,554,0,-554,2024-09-10 00:00:00.000,стол письменный,1200,650,770,72,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/stolyi/stol-pismennyiy-monako-p510-15-1/
ba5c1241-984d-4ac6-8349-4ce27d51e3d7,"2113",Полка консольная «Монако» П6.528.0.07 (П510.07),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/polka_monako_p510_07.jpg,125,0,-125,2024-09-10 00:00:00.000,полка,1704,240,340,15,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/dekorativnyie-elementyi/polka-konsolnaya-monako-p510-07/
"537eb596-9af3-4bd9-a2fc-d2ef9e4f4ac0","2116",Стол журнальный «Монако» П6.528.0.04 (П510.04),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/stol_jurn_monako_p510_04.jpg,223,0,-223,2024-09-10 00:00:00.000,стол журнальный,1000,750,446,31,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/stolyi/stol-jurnalnyiy-monako-p510-04/
befe9efc-4b8d-44f2-ac28-4579e55f92fb,"2447",Тумба прикроватная «Монако» П6.528.1.04 (П528.04-1),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/tumba_prikrovatnaya_monako_p528_04_seryi_mokko5c110aa7095bc.jpg,180,0,-180,2024-09-10 00:00:00.000,тумба прикроватная,444,421,445,20,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-prikrovatnaya-monako-p528-04-1/
fd69efb4-7112-4801-a7ad-5c13f90debcd,"2449",Комод «Монако» П6.528.1.10 (П528.10),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/52810_ser.jpg,581,0,-581,2024-09-10 00:00:00.000,комод,1054,422,1077,65,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/komod-monako-p528-10/
"10755210-4c39-40f2-aa60-1c354dbecd52","2455",Кровать одинарная «Монако» с низким изножьем,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/krovat_monako_p528_115c8f47a7da0db.jpg,583,0,-583,2024-09-10 00:00:00.000,"односпальная кровать, детская кровать",2060,0,940,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/krovati/krovat-odinarnaya-monako-p528-11/
cf535ba0-2704-41ea-a8c8-b9b254811291,"6063",Тумба под ТВ «Монако» П6.528.0.02,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/tumba_tv_monako_p510_02-2.jpg,545,0,-545,2024-09-10 00:00:00.000,тумба под телевизор,1704,421,590,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-pod-tv-monako-p6-528-0-02/
d417dcfa-78a1-46b4-9912-119d09c98a02,"6064",Тумба «Монако» П6.528.0.03,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/Tumba_Monaco_P510-03_bp_-1.jpg,1087,0,-1087,2024-09-10 00:00:00.000,тумба комбинированная,1424,421,840,80,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-monako-p6-528-0-03/
ae4f0f0b-9a54-4865-8dc3-6d20897499d6,"6065",Шкаф «Монако» П6.528.0.05-01,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_monako_p510_05-1-1.jpg,1015,0,-1015,2024-09-10 00:00:00.000,шкаф комбинированный,934,421,1900,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-monako-p6-528-0-05-01/
"77496602-c166-4ad2-a071-60a5cd7a6b8e","6066",Шкаф «Монако» П6.528.0.05,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_monako_p510_05-15a2f959a446dd-1.jpg,1015,0,-1015,2024-09-10 00:00:00.000,шкаф комбинированный,934,421,1900,84,0.284,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-monako-p6-528-0-05/
cfd26e32-47fe-4649-9402-bb1a504d7932,"6067",Тумба «Монако» П6.528.0.06,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/tumba_monako_p510_065c063f7510889-1.jpg,492,0,-492,2024-09-10 00:00:00.000,тумба под телевизор,1424,421,490,50,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-monako-p6-528-0-06/
bd7368af-6c64-4e05-bf33-250a97c8277b,"2279",Полка консольная «Монако» П6.528.0.08 (П510.08),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/polka_monako_p510_085c063d7f29169.jpg,125,0,-125,2024-09-10 00:00:00.000,полка,1420,240,340,13,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/dekorativnyie-elementyi/polka-konsolnaya-monako-p510-08/
"591fcc7f-3ffb-43d8-b9b4-89b5175f7efb","5007",Матрасы «Энсо»,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/products/enso_logo.jpg,371,437,66,2024-09-10 00:00:00.000,стандартный матрас,0,0,0,0,0.0,true,https://pinskdrev.by/catalog/matrasyi/matrasyi-enso/
ceee48aa-571f-480b-bd76-70a7e5c69088,"6062",Шкаф «Монако» П6.528.0.01,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_monako_p51001.jpg,737,0,-737,2024-09-10 00:00:00.000,шкаф комбинированный,634,421,1900,70,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-monako-p6-528-0-01/
b95419b2-e389-4839-ad1d-bea43f7905ac,"6061",Шкаф «Монако» П6.528.0.01-01,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_monako_p510_01-1-1.jpg,737,0,-737,2024-09-10 00:00:00.000,шкаф комбинированный,634,421,1900,70,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-monako-p6-528-0-01-01/
dc7d09bc-c5f3-4e9b-8587-9b9b92e324fd,"3623",Стул «Чара»,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/photogallery/Offer/8366/Chara_12_734cord13_23gr.jpg,650,0,-650,2024-09-10 00:00:00.000,"кресло, Интерьерные кресла",685,865,765,0,0.0,true,https://pinskdrev.by/catalog/myagkaya-mebel/kresla/stul-chara/
"7b8e00ef-b707-4268-a2dd-0f641ec14e66","2478",Зеркало настенное «Монако» П6.528.1.03 (П528.03),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/zerkalo_monako-p528_035b06595627783.jpg,163,0,-163,2024-09-10 00:00:00.000,зеркало настенное,1000,21,700,25,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/dekorativnyie-elementyi/zerkalo-nastennoe-monako-p528-03/
"3cab7ffd-d96e-40c9-92ab-e428859b6128","4568",Зеркало настенное «Монако» П6.528.3.05 (П542.05),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/Dub_Satter_Zerkalo_navesnoe_Monako_P528-03.jpg,187,0,-187,2024-09-10 00:00:00.000,зеркало настенное,670,21,970,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/dekorativnyie-elementyi/zerkalo-nastennoe-monako-p542-05/
