"id","article","name","image","price_new","price_old","discount","date_create","date_update","type","length","width","height","weight","volume","actual","link"
ba0273ed-6d84-48d2-a588-1194ab97142e,"19817",Шкаф Адажио,pload/iblock/f4f/f4f01d94d327a8a8882bf0a75e18c318.jpg,63870,0,-63870,2024-10-05 12:43:04.932,2024-10-05 12:43:04.932,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/19817/
f839fea3-5aa3-4403-8374-70850e7de4e3,"19825",Шкаф Адажио,pload/iblock/4e0/4e0844702dc57db27399d261c160eec2.jpg,80180,0,-80180,2024-10-05 12:43:04.950,2024-10-05 12:43:04.950,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/19825/
"970b34ef-0dcc-4cfa-98b1-1a90c9c8ddb9","28399",Шкаф Глейс,pload/iblock/a22/a2224381bcceefb0f537f8e554566f9b.png,10990,14090,3100,2024-10-05 12:42:36.920,2024-10-05 13:55:52.187,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/28399/
"8f5c9561-5503-4a13-9d92-8b5c898b09fd","19827",Шкаф Адажио,pload/iblock/fb6/fb6ec79eeaa27923b50d5513ac8f019c.jpg,38370,0,-38370,2024-10-05 12:43:04.989,2024-10-05 12:43:04.989,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/19827/
d4239201-c7c7-4093-a50b-c49af795d73e,"23126",Шкаф Луара,pload/iblock/9fb/po20e7ln7fkoyjyxrr6wq58c9uwb16qa.jpg,45590,0,-45590,2024-10-05 12:43:05.022,2024-10-05 12:43:05.022,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/23126/
b9b658f4-2510-45c5-8fe5-bc7a969f4326,"23130",Шкаф Луара,pload/iblock/b9c/55utj61xxtid4t35uuucjawlh2a1tx2s.jpg,40990,60390,19400,2024-10-05 12:43:05.044,2024-10-05 12:43:05.044,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/23130/
ce360b68-734b-4ecb-ad92-cb8bfefd1a05,"22169",Барная секция Луара,pload/iblock/31d/pjj5ob7395b6yg2ca7e3voutlmqvg7q7.jpg,13590,15090,1500,2024-10-05 12:42:36.236,2024-10-05 13:55:52.209,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/22169/
"5d7444d7-5c88-40ee-a029-dc860f6fa03f","28400",Шкаф Глейс,pload/iblock/b9a/httb4vx63qx8kmq75nj6r6iihz4c2xjh.jpg,4990,9890,4900,2024-10-05 12:42:36.990,2024-10-05 13:55:52.242,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/28400/
"1814e2c7-5c7e-4d18-8651-03df36fd3d29","28401",Шкаф навесной Глейс,pload/iblock/231/2319d32363166140416da15d2fbbf22e.png,7290,14590,7300,2024-10-05 12:43:05.125,2024-10-05 12:43:05.125,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/28401/
"9fddfec6-c06a-40a5-b832-75dc83989cea","33248",Шкаф Глейс,pload/iblock/8cc/53xjf6m8bjg30hs9m5i6u62kvmqouttd.jpg,7490,14690,7200,2024-10-05 12:43:05.155,2024-10-05 12:43:05.155,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/33248/
